Title,Stars,DateTime
A Very British Hotel Chain: Inside Best Western review – too mean by half,2 out of 5 stars.,2020-05-19T21:00:08+0000
Sweet Magnolias review – low-stakes Netflix drama is a syrupy watch,2 out of 5 stars.,2020-05-19T09:04:53+0000
The Big Flower Fight review – floristry Bake Off is a blooming disappointment,2 out of 5 stars.,2020-05-18T11:35:38+0000
Hightown review – Jerry Bruckheimer crime drama is slick but sombre,3 out of 5 stars.,2020-05-17T05:00:51+0000
White Lines review – is it murder on the dancefloor in Netflix's Ibiza mystery?,4 out of 5 stars.,2020-05-15T11:19:56+0000
"The Country That Beat the Virus review – breathtaking, damning and humiliating",4 out of 5 stars.,2020-05-13T21:00:51+0000
The Great review – gleefully garish new series from The Favourite writer,3 out of 5 stars.,2020-05-13T19:54:17+0000
,,
"Return to Real Kashmir FC review – football, fighting and feral dogs",4 out of 5 stars.,2020-05-12T22:00:22+0000
I Know This Much Is True review – Mark Ruffalo's twin performance saves the day,3 out of 5 stars.,2020-05-11T21:10:52+0000
"Dave review – rap comedy sees life imitate art, one penis joke at a time",4 out of 5 stars.,2020-05-10T21:55:36+0000
The Eddy review – dark musical drama needs some jazzing up,3 out of 5 stars.,2020-05-08T11:09:47+0000
"Brassic series two review – lewd, crude ... and totally brilliant",4 out of 5 stars.,2020-05-07T22:00:09+0000
NHS Heroes: Fighting to Save Our Lives review – tearful testimonies from the frontline,4 out of 5 stars.,2020-05-06T21:00:16+0000
The A Word review – autism drama shows the weight of change on us all,4 out of 5 stars.,2020-05-05T21:00:48+0000
Isolation Stories review – powerful snapshots of lockdown life,4 out of 5 stars.,2020-05-04T20:15:17+0000
Homeland finale review – Claire Danes thriller goes out with a bang,4 out of 5 stars.,2020-05-03T21:15:02+0000
The week in TV: Normal People; Blood; Code 404; Hollywood; Museums in Quarantine – review,Published: ,2020-05-03T08:30:48+0000
Trying review – infertility proves fertile ground for laughs,3 out of 5 stars.,2020-05-01T08:00:18+0000
Hollywood review – Ryan Murphy’s Netflix epic is a hollow ode to showbiz,2 out of 5 stars.,2020-05-01T05:00:15+0000
Dispatches from Elsewhere review – Twin Peaks meets Alice in Wonderland,3 out of 5 stars.,2020-04-29T22:05:03+0000
Betty review – female skateboarders cut loose in freewheeling comedy,4 out of 5 stars.,2020-04-29T11:15:14+0000
"Paul Hollywood Eats Japan review – a flimsy, gap year-style food tour",2 out of 5 stars.,2020-04-28T21:00:57+0000
Blood series two review – family thriller still drips with menace,4 out of 5 stars.,2020-04-27T21:05:49+0000
Primates review – monkeying around with Chris Packham,3 out of 5 stars.,2020-04-26T20:15:23+0000
Normal People review – Sally Rooney's love story is a small-screen triumph,5 out of 5 stars.,2020-04-26T05:00:06+0000
,,
Gangs of London review – a thrilling dose of capital punishment,4 out of 5 stars.,2020-04-23T21:45:06+0000
Penny Dreadful: City of Angels review - magnetic but messy escapism,3 out of 5 stars.,2020-04-23T09:10:10+0000
The Truth About Amazon review – a punters' guide to the retail giant's jungle,3 out of 5 stars.,2020-04-21T21:00:26+0000
The Midnight Gospel review – Netflix's new cartoon is a trippy Mr Benn for adults,4 out of 5 stars.,2020-04-20T14:05:12+0000
Cooked With Cannabis review – potty food contest offers a real high,4 out of 5 stars.,2020-04-20T08:00:02+0000
One World: Together at Home review – locked-down stars lift the spirits,Published: ,2020-04-19T17:04:04+0000
Too Hot to Handle review – 'chaste' Love Island is disgustingly bingeable,3 out of 5 stars.,2020-04-17T11:42:36+0000
Home review – designs take on a grander purpose without Kevin McCloud,4 out of 5 stars.,2020-04-17T07:00:07+0000
"Devs review – sci-fi thriller is a dark, wild ride",4 out of 5 stars.,2020-04-15T21:00:25+0000
Prue Leith: Journey with my Daughter review – a fraught search for family secrets,3 out of 5 stars.,2020-04-14T21:00:25+0000
"Quiz review – would you like to ask the audience, Major?",3 out of 5 stars.,2020-04-13T21:00:22+0000
Killing Eve series three review – still deadlier than the rest?,3 out of 5 stars.,2020-04-13T08:00:07+0000
Joe Lycett's Got Your Back review – will the real Hugo Boss please stand up!,3 out of 5 stars.,2020-04-10T20:00:54+0000
Red Dwarf: The Promised Land review – megalomaniac cats are out for revenge,3 out of 5 stars.,2020-04-09T22:00:26+0000
The Countess and the Russian Billionaire review – a fabulously compelling nightmare,3 out of 5 stars.,2020-04-08T21:00:27+0000
"Alma's Not Normal review – this bleak, brilliant comedy is far from ordinary",4 out of 5 stars.,2020-04-07T21:30:07+0000
Malory Towers review – midnight feasts and horrid sneaks make for a ripping Blyton yarn,4 out of 5 stars.,2020-04-06T17:00:02+0000
Models: Street to Catwalk review – all hail the Mancunian mannequins!,4 out of 5 stars.,2020-04-05T08:00:22+0000
Home Before Dark review – can a nine-year-old really solve a murder?,2 out of 5 stars.,2020-04-03T11:00:17+0000
"Gordon, Gino and Fred: American Road Trip review – it's painful, in every sense",2 out of 5 stars.,2020-04-02T21:15:00+0000
Save Me Too review – a gripping thriller with emotional heft,4 out of 5 stars.,2020-04-01T21:00:31+0000
"PEN15 review – boobs, bowl cuts, bullying and other joys of puberty",4 out of 5 stars.,2020-03-31T20:35:02+0000
The Real Michael Jackson review – how did he get away with it for so long?,4 out of 5 stars.,2020-03-30T21:30:34+0000
"Batwoman review – holy cow, Bat-fans, this is heroically bad",2 out of 5 stars.,2020-03-29T21:00:04+0000
Making the Cut review – a fashion show that's already out of style,2 out of 5 stars.,2020-03-27T14:00:00+0000
"Born to Be Different review – a tender look at dating, death and disability",4 out of 5 stars.,2020-03-26T22:00:38+0000
Hitmen review – Mel and Sue swap glazed buns for silenced guns,3 out of 5 stars.,2020-03-25T23:00:11+0000
Putin: A Russian Spy Story review – 'schoolyard thug' who became an unstoppable leader,5 out of 5 stars.,2020-03-23T22:00:14+0000
The Nest review – who's using who in this knotty thriller?,3 out of 5 stars.,2020-03-22T22:00:18+0000
The Letter for the King review – Netflix fantasy epic is low on magic,3 out of 5 stars.,2020-03-20T12:00:39+0000
The English Game review – Julian Fellowes football drama is an own goal,1 out of 5 stars.,2020-03-20T10:18:05+0000
,,
Feel Good – Mae Martin's immaculate romcom will have you head over heels,5 out of 5 stars.,2020-03-18T22:35:36+0000
Penance review – bored with toyboy thrillers? How about some 'incest'!,3 out of 5 stars.,2020-03-17T22:00:06+0000
"Westworld season three review – after the bloodbath, here's the algorithm overlord",3 out of 5 stars.,2020-03-16T22:20:37+0000
Belgravia review – Julian Fellowes is caught in an uptown funk,2 out of 5 stars.,2020-03-15T22:00:08+0000
"100 Humans review – Netflix have your sperm, and they're not afraid to use it",1 out of 5 stars.,2020-03-13T13:46:05+0000
Breeders review – I'm a parent ... get me out of here!,3 out of 5 stars.,2020-03-12T23:05:44+0000
Child of Our Time: Turning 20 review – poignant farewell to Gen Z's Seven Up,4 out of 5 stars.,2020-03-11T22:00:13+0000
"Mrs Fletcher review – come for the milf porn, stay for the messy lives",4 out of 5 stars.,2020-03-10T22:50:45+0000
Miriam’s Big Fat Adventure review – Margolyes chews the fat on obesity,3 out of 5 stars.,2020-03-09T22:00:15+0000
Race Across the World series two review – will this adventure end at the divorce courts?,3 out of 5 stars.,2020-03-08T21:00:45+0000
Amazing Stories review – Spielberg anthology is full of heart,3 out of 5 stars.,2020-03-06T09:00:32+0000
Noughts + Crosses review – reverse-race love story is vital viewing,4 out of 5 stars.,2020-03-05T22:00:19+0000
Zoey's Extraordinary Playlist review – musical dramedy hits all the wrong notes,2 out of 5 stars.,2020-03-04T23:00:51+0000
The Trip to Greece review – Coogan and Brydon have the Midas touch,4 out of 5 stars.,2020-03-03T23:00:25+0000
Liar series two review – from he said/she said hit to lazy thriller,2 out of 5 stars.,2020-03-02T22:00:03+0000
McDonald and Dodds review – mismatched cops are the perfect partners in crime,5 out of 5 stars.,2020-03-01T22:00:26+0000
Restaurants on the Edge review – where's Gordon Ramsay when you need him?,2 out of 5 stars.,2020-02-28T16:11:39+0000
10 Years Younger in 10 Days review – the Botoxed makeover show is back ... and it's uglier than ever,2 out of 5 stars.,2020-02-27T22:00:07+0000
I Am Not Okay With This review – teen angst just got terrifying!,3 out of 5 stars.,2020-02-26T17:30:30+0000
"The Twilight Zone review – a dire, half-hearted reboot",2 out of 5 stars.,2020-02-25T22:00:01+0000
Flesh and Blood review – gorge on this deliciously dread-filled thriller,4 out of 5 stars.,2020-02-24T22:00:32+0000
Intelligence review – never has David Schwimmer been so squandered,2 out of 5 stars.,2020-02-21T22:00:05+0000
Hunters review – Al Pacino's Nazi killer drama is dangerously insensitive,2 out of 5 stars.,2020-02-21T11:33:05+0000
Babies review – all hail the world's smallest superpowers!,3 out of 5 stars.,2020-02-21T06:00:47+0000
Harry Redknapp’s Sandbanks Summer review – utter piffle,1 out of 5 stars.,2020-02-19T20:30:05+0000
How to Stay Out of Jail review – almost miraculously uplifting TV,4 out of 5 stars.,2020-02-18T23:00:39+0000
This Country review – farewell to TV's favourite bumpkins,5 out of 5 stars.,2020-02-17T23:05:10+0000
'Give me death or freedom' – The Battle for Hong Kong review,3 out of 5 stars.,2020-02-16T23:15:41+0000
Visible: Out on Television review – a fabulous history of small-screen gayness,4 out of 5 stars.,2020-02-14T09:00:26+0000
"Work in Progress review – a brave, painful, hilarious queer comedy",4 out of 5 stars.,2020-02-12T22:15:44+0000
The Split series two review – steamy legal saga raises the bar again,4 out of 5 stars.,2020-02-11T22:00:15+0000
The End review – devastating TV that shows what makes life worth living,4 out of 5 stars.,2020-02-10T22:35:47+0000
The Pale Horse review – dread so thick you’ll need a scrub down,4 out of 5 stars.,2020-02-09T22:00:17+0000
"Frankie Boyle's Tour of Scotland review – och aye, it's the new travelogue king!",4 out of 5 stars.,2020-02-07T22:30:20+0000
Locke and Key review – step inside Netflix's house of horrors,4 out of 5 stars.,2020-02-07T17:01:50+0000
,,
Barrymore: The Body in the Pool review – a grim search for answers,3 out of 5 stars.,2020-02-06T22:50:51+0000
The Righteous Gemstones review – if Tony Soprano opened a megachurch,3 out of 5 stars.,2020-02-05T22:15:21+0000
The Pharmacist review – when doctors become drug dealers,4 out of 5 stars.,2020-02-05T17:49:02+0000
"The L Word: Generation Q review – it's here, it's queer ... and it's loads of fun",4 out of 5 stars.,2020-02-04T23:10:54+0000
