Title,Stars,DateTime
Buñuel in the Labyrinth of the Turtles review – intriguing animation,3 out of 5 stars.,2020-07-19T10:00:00+0000
Clemency review – Alfre Woodard quietly dazzles in this superb death row drama,5 out of 5 stars.,2020-07-19T07:00:44+0000
Come As You Are review - a briskly unsentimental journey,3 out of 5 stars.,2020-07-18T14:00:23+0000
Cruel Intentions review – young love still looks laboured 21 years on,2 out of 5 stars.,2020-07-17T10:00:12+0000
Cruel Intentions review – young love still looks laboured 21 years on,2 out of 5 stars.,2020-07-17T10:00:12+0000
Disappearance at Clifton Hill review – dark tale of childhood trauma,3 out of 5 stars.,2020-07-17T08:00:10+0000
"Clemency – brilliant, devastating death-row drama",5 out of 5 stars.,2020-07-17T06:00:08+0000
The Very Excellent Mr Dundee review – Paul Hogan tries to not get cancelled in confused film,2 out of 5 stars.,2020-07-17T04:47:18+0000
"Disney’s Fantasia reviewed – archive, 1941",Published: ,2020-07-17T04:30:05+0000
Mermaids: Winona Ryder and Cher sparkle in underappreciated 1990s coming-of-age gem,Published: ,2020-07-17T01:34:41+0000
,,
Buñuel in the Labyrinth of the Turtles review – animated odyssey,3 out of 5 stars.,2020-07-16T14:00:48+0000
Good Manners review – superbly strange nanny horror,4 out of 5 stars.,2020-07-16T12:00:44+0000
Come As You Are review – disability rights and sexual needs,3 out of 5 stars.,2020-07-16T10:00:42+0000
"The Portuguese Woman review – elegant, unworldly tale of courtly discontent",4 out of 5 stars.,2020-07-16T08:00:27+0000
Fatal Affair review – cheap Netflix thriller plays the same old tune,1 out of 5 stars.,2020-07-16T07:01:25+0000
Fatal Affair review – cheap Netflix thriller plays the same old tune,1 out of 5 stars.,2020-07-16T07:01:25+0000
Masters of Love review – awkward sex and terrible hangovers,3 out of 5 stars.,2020-07-16T06:00:25+0000
Kat and the Band review – unlikely adventures of a wannabe pop mogul,2 out of 5 stars.,2020-07-15T17:00:09+0000
Ghosts of War review – uneven second world war horror story,2 out of 5 stars.,2020-07-15T15:00:06+0000
Dreambuilders review – blandly bright family animation,2 out of 5 stars.,2020-07-15T13:00:51+0000
Landless review – Brazilian land-access doc doesn't dig deep enough,2 out of 5 stars.,2020-07-15T11:00:49+0000
Father Soldier Son review – intimate Netflix military documentary,3 out of 5 stars.,2020-07-14T15:20:29+0000
War of the Worlds: the pioneering work of science fiction inspired by Australian brutality,Published: ,2020-07-13T17:30:28+0000
Litigante review - bracing portrait of a Colombian woman on the verge,4 out of 5 stars.,2020-07-12T10:00:11+0000
"Saint Frances review – wry, tender, taboo-busting drama",5 out of 5 stars.,2020-07-12T07:00:08+0000
The Old Guard review – Charlize Theron has an axe to grind,3 out of 5 stars.,2020-07-11T14:00:14+0000
I Am Vengeance: Retaliation review – Stu Bennett cries foul and tackles Vinnie Jones,2 out of 5 stars.,2020-07-10T08:00:11+0000
Arkansas review – buddy crime caper with 90s flavour and 70s clobber,3 out of 5 stars.,2020-07-10T06:00:09+0000
,,
Relic review – a film that gorges on the terror of forgetting in a feast of dread,4 out of 5 stars.,2020-07-09T22:00:24+0000
Unraveling Athena review – a frank serving of women's lives in tennis,2 out of 5 stars.,2020-07-09T12:00:12+0000
"In Her Hands review – all about the musical boy genius, again",2 out of 5 stars.,2020-07-09T10:00:03+0000
"In Her Hands review – all about the musical boy genius, again",2 out of 5 stars.,2020-07-09T10:00:03+0000
Love Sarah review – Celia Imrie stars in warm-hearted Notting Hill drama,3 out of 5 stars.,2020-07-09T08:00:01+0000
Black Water: Abyss review – PG-style croc horror is fit for a paddling pool,2 out of 5 stars.,2020-07-09T06:00:01+0000
Above Suspicion review – stranger than fiction weirdness of FBI murder,3 out of 5 stars.,2020-07-08T17:00:37+0000
Finding the Way Back review – Ben Affleck redemption drama is far from a slam dunk,1 out of 5 stars.,2020-07-08T15:00:46+0000
Spaceship Earth review – 90s Arizona eco-experiment looks like reality TV,4 out of 5 stars.,2020-07-08T13:00:07+0000
Spaceship Earth review – 90s Arizona eco-experiment looks like reality TV,4 out of 5 stars.,2020-07-08T13:00:07+0000
Litigante review – tender tale of private lives and public scandal,4 out of 5 stars.,2020-07-08T11:00:06+0000
Palm Springs review – goofy time-loop romcom recycles reckless pleasures,3 out of 5 stars.,2020-07-08T06:35:03+0000
Greyhound review – Tom Hanks goes to war on the high seas,3 out of 5 stars.,2020-07-06T16:00:07+0000
"A White, White Day review – a tender Icelandic thriller",4 out of 5 stars.,2020-07-05T10:00:40+0000
Lynn + Lucy review – a devastating tale of friends disunited,5 out of 5 stars.,2020-07-05T07:00:37+0000
"Family Romance, LLC review – Werner Herzog's moving rent-a-family tale",4 out of 5 stars.,2020-07-04T14:00:15+0000
The Old Guard review – Netflix immortality thriller won't live long in the memory,2 out of 5 stars.,2020-07-03T15:00:47+0000
Desperados review – hit-and-miss Netflix comedy offers throwaway summer fun,3 out of 5 stars.,2020-07-03T07:01:14+0000
